same_city,same_country,is_creator_friend,not_start_diff,yes,maybe,invited,no,f4,f5,f6,friends,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,sim_yes_cluster,sim_maybe_cluster,sim_no_cluster,sim_invited_cluster,sim_friends_yes_cluster,sim_friends_maybe_cluster,sim_friends_no_cluster,event_att_yes_sim,event_att_maybe_sim
False,False,False,-136678.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,22151,1,0,0,0,0.0,0.0,0.0,4.514468872737122e-05,0.0,0.0,0.0,0.0,134.59273717113626,214.38568342560944,53.44648417192669,3.0377383545141807,84.80508900866269,54.63736114720178,51.94341543121928,0.0,0.0
False,False,False,-248190.0,7103.0,2501.0,27427.0,3852.0,0.5423060678586513,0.35210474447416584,3.8613262001971,17210,7,4,3,53,0.5714285714285714,0.42857142857142855,7.571428571428571,0.00040674026728646135,0.000232423009877978,0.00017431725740848345,0.0030796048808832076,0.14044554635942685,19.79939618516828,23.42031834074864,32.192248336258146,26.596061248822114,30.27841217404352,20.725877716816694,37.562293879827855,0.0,0.0
True,True,False,-107039.0,150.0,85.0,350.0,10.0,0.06666666666666668,0.5666666666666667,2.333333333333333,1162,2,1,1,5,0.5,0.5,2.5,0.0017211703958691911,0.0008605851979345956,0.0008605851979345956,0.004302925989672977,0.028571428571428567,76.67128391500114,7.651676320271531,37.29232483173244,67.48599674045518,32.51215579358907,33.61890084532635,0.0,0.0,0.0
True,True,False,-209824.0,1859.0,611.0,6601.0,159.0,0.085529854760624,0.32867132867132864,3.5508337816030124,18407,5,0,1,11,0.0,0.2,2.2,0.0002716357907317868,0.0,5.432715814635736e-05,0.000597598739609931,0.02408725950613544,43.98897552456968,227.12719745711476,2.252412248980613,38.40367965587557,78.3398826727423,71.21977428828117,79.44890703727532,0.0,0.0
True,True,False,-334772.0,1907.0,525.0,21988.0,213.0,0.11169375983219716,0.27530152071316205,11.530152071316204,20616,3,0,1,38,0.0,0.3333333333333333,12.666666666666664,0.00014551804423748544,0.0,4.850601474582848e-05,0.0018432285603414823,0.009687102055666728,8.042848950482997,179.1535794443233,53.44648417192669,12.622825847166732,59.8932021299979,42.73637188692913,48.398962646246424,0.07979395147889665,0.0
False,False,False,-202133.0,215.0,95.0,35067.0,959.0,4.46046511627907,0.4418604651162791,163.10232558139538,2367,0,1,0,10,0.0,0.0,0.0,0.0,0.0004224757076468103,0.0,0.0042247570764681035,0.02734764878660849,60.36493364303377,11.508305441458877,16.153927288478602,91.19624966394537,44.03740649145403,63.88404935481403,28.866413360862694,0.0,0.0
False,False,False,-59222.0,1001.0,407.0,105939.0,0.0,0.0,0.4065934065934066,105.83316683316684,9349,1,0,0,51,0.0,0.0,51.0,0.00010696331158412664,0.0,0.0,0.00545512889079046,0.0,34.47565171829843,37.72622073397844,32.192248336258146,78.63472820977306,24.89896915778699,40.9822301962639,65.47767144272888,0.0,0.0
False,False,False,-121815.0,502.0,275.0,31342.0,1877.0,3.7390438247011946,0.547808764940239,62.43426294820717,2974,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.002017484868863484,0.05988769063875949,176.07950100352318,36.32283055623107,78.62829718817946,48.144116532214966,42.12000884054231,66.45124186793589,46.46727185183925,0.0,0.0
False,False,False,-38499.0,212.0,237.0,3627.0,64.0,0.3018867924528302,1.1179245283018868,17.108490566037734,20549,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.866416857267994e-05,0.01764543700027571,35.86724642544321,36.74350907553161,251.05467486677648,77.61722549760323,50.33356201277197,55.83475367623711,27.00215144222365,0.0,0.0
False,False,False,7104.0,86.0,63.0,79677.0,135.0,1.569767441860465,0.7325581395348837,926.4767441860464,21742,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0002759635728083893,0.0016943409013893595,16.685456495802825,25.477826681698982,41.51283290842415,18.934062763613504,40.634276614962815,62.61017058544771,59.429354001732854,0.0,0.0
False,False,False,9925.0,136.0,193.0,687.0,10.0,0.07352941176470587,1.4191176470588236,5.051470588235294,13230,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,7.558578987150416e-05,0.01455604075691412,188.96585207280526,124.05263454577528,149.5712231562283,0.8151404740355775,56.65331782571784,25.544982773268142,41.57396634649688,0.0,0.0
True,False,False,-173239.0,139.0,105.0,2223.0,31.0,0.22302158273381292,0.7553956834532374,15.992805755395686,8574,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.00011663167716351763,0.0003498950314905528,0.013945119208277105,3.660615412891248,77.8359423837565,32.192248336258146,55.736037667093065,49.464955874722435,38.466236287621115,33.03247464582678,0.0,0.0
False,False,False,-41943.0,271.0,289.0,622.0,52.0,0.1918819188191882,1.066420664206642,2.2952029520295203,236,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.00847457627118644,0.08360128617363344,93.6892141054585,58.865228885107975,41.98633237784377,81.64971147864796,58.86774846393609,71.2729494592562,71.0087090501281,0.0,0.0
False,False,False,27474.0,432.0,287.0,2049.0,53.0,0.1226851851851852,0.6643518518518519,4.7430555555555545,18930,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.282620179609086e-05,0.025866276232308444,35.86724642544321,36.74350907553161,251.05467486677648,118.04452307469141,62.58378006900033,49.35069601592779,60.7030025149733,0.0,0.0
False,False,False,-102147.0,124.0,96.0,375.0,103.0,0.8306451612903226,0.7741935483870968,3.0241935483870965,10375,1,0,0,0,0.0,0.0,0.0,9.638554216867471e-05,0.0,0.0,0.0,0.2746666666666667,90.18081550868213,179.1535794443233,53.44648417192669,60.45364580569792,75.35459102541617,80.82327024774762,42.411031514762605,0.0,0.0
False,False,False,-159902.0,192.0,148.0,224.0,0.0,0.0,0.7708333333333334,1.1666666666666667,2222,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.88031457705957,136.8240174849245,38.256065414690546,42.07479780635485,36.73325051940408,31.245048088728108,98.8523476477398,0.0,0.0
True,True,False,-243166.0,1489.0,870.0,40506.0,389.0,0.2612491605104097,0.5842847548690396,27.203492276695773,9090,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.00143014301430143,0.00960351552856367,124.27972220491672,214.38568342560944,53.44648417192669,49.842387368743076,48.99709158452318,87.72886198025759,62.94496384771554,0.0,0.0
